Street Address,City,State,Zip,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,Census Year,State FIPS,County FIPS,Place Name,Place FIPS,Census Tract Code,Census Block Code,Census Block Group,Full FIPS,test_site_source
"1001 Rose Bowl Dr., Pasadena, CA 91103",,,,34.167744,-118.169907,1,rooftop,1001,Rose Bowl Dr,Pasadena,CA,Los Angeles County,91103,US,Los Angeles,2019,6,6037,Pasadena,656000,461700,1001,1,6.03746E+13,giscorps
"10048 Mills Avenue, Whittier, CA 90604",,,,33.942015,-118.028928,1,rooftop,10048,Mills Ave,Whittier,CA,Los Angeles County,90604,US,Los Angeles,2019,6,6037,South Whittier,673430,503302,2010,2,6.0375E+13,giscorps
"1009 N Avalon Blvd, Wilmington, CA 90744-4505",,,,33.78315,-118.26284,1,rooftop,1009,N Avalon Blvd,Wilmington,CA,Los Angeles County,90744,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,294520,2009,2,6.03729E+13,giscorps
"101 East Alameda Avenue, Burbank, CA 91502",,,,34.173666,-118.301504,1,rooftop,101,E Alameda Ave,Burbank,CA,Los Angeles County,91502,US,City of Burbank,2019,6,6037,Burbank,608954,310703,2011,2,6.03731E+13,giscorps
"101 West Foothill Boulevard, Azusa, CA 91702",,,,34.134023,-117.907893,1,rooftop,101,W Foothill Blvd,Azusa,CA,Los Angeles County,91702,US,Los Angeles,2019,6,6037,Azusa,603386,400602,2031,2,6.0374E+13,giscorps
"1010 N. Sepulveda Blvd, Manhattan Beach, CA 90266",,,,33.886199,-118.395747,1,rooftop,1010,N Sepulveda Blvd,Manhattan Beach,CA,Los Angeles County,90266,US,Los Angeles,2019,6,6037,Manhattan Beach,645400,620800,5001,5,6.03762E+13,giscorps
"102 North San Gabriel Boulevard, San Gabriel, CA 91775-2427",,,,34.103435,-118.090837,1,range_interpolation,102,N San Gabriel Blvd,San Gabriel,CA,Los Angeles County,91775,US,TIGER/Line® dataset from the US Census Bureau,2019,6,6037,San Gabriel,667042,480102,2019,2,6.03748E+13,giscorps
"10223 Firmona Ave, Lennox, CA 90304",,,,33.94516,-118.35799,0.9,rooftop,10223,S Firmona Ave,Inglewood,CA,Los Angeles County,90304,US,Los Angeles,2019,6,6037,Lennox,641180,601501,1006,1,6.0376E+13,giscorps
"1025 N Vermont Ave, Los Angeles, CA 90029",,,,34.09019,-118.29193,1,rooftop,1025,N Vermont Ave,Los Angeles,CA,Los Angeles County,90029,US,City of Los Angeles,2019,6,6037,Los Angeles,644000,191500,1000,1,6.03719E+13,giscorps
"10250 Santa Monica Blvd #1450, Los Angeles, CA 90067",,,,34.059485,-118.420449,1,rooftop,10250,Santa Monica Blvd,Los Angeles,CA,Los Angeles County,90067,US,Los Angeles,2019,6,6037,Los Angeles,644000,267901,1006,1,6.03727E+13,giscorps
"10250 Santa Monica Blvd Century City, CA 90067",,,,34.059485,-118.420449,1,rooftop,10250,Santa Monica Blvd,Los Angeles,CA,Los Angeles County,90067,US,Los Angeles,2019,6,6037,Los Angeles,644000,267901,1006,1,6.03727E+13,giscorps
